id,code,created_at,updated_at
292,gi,"2023-08-24 01:43:17","2023-08-24 01:43:17"
296,ki,"2023-08-24 01:43:18","2023-08-24 01:43:18"
300,gr,"2023-08-24 01:43:17","2023-08-24 01:43:17"
304,gl,"2023-08-24 01:43:17","2023-08-24 01:43:17"
308,gd,"2023-08-24 01:43:17","2023-08-24 01:43:17"
312,gp,"2023-08-24 01:43:17","2023-08-24 01:43:17"
316,gu,"2023-08-24 01:43:17","2023-08-24 01:43:17"
320,gt,"2023-08-24 01:43:17","2023-08-24 01:43:17"
324,gn,"2023-08-24 01:43:17","2023-08-24 01:43:17"
328,gy,"2023-08-24 01:43:17","2023-08-24 01:43:17"
332,ht,"2023-08-24 01:43:17","2023-08-24 01:43:17"
334,hm,"2023-08-24 01:43:17","2023-08-24 01:43:17"
336,va,"2023-08-24 01:43:17","2023-08-24 01:43:17"
340,hn,"2023-08-24 01:43:17","2023-08-24 01:43:17"
344,hk,"2023-08-24 01:43:17","2023-08-24 01:43:17"
348,hu,"2023-08-24 01:43:17","2023-08-24 01:43:17"
352,is,"2023-08-24 01:43:17","2023-08-24 01:43:17"
356,in,"2023-08-24 01:43:17","2023-08-24 01:43:17"
360,id,"2023-08-24 01:43:17","2023-08-24 01:43:17"
364,ir,"2023-08-24 01:43:18","2023-08-24 01:43:18"
368,iq,"2023-08-24 01:43:18","2023-08-24 01:43:18"
372,ie,"2023-08-24 01:43:18","2023-08-24 01:43:18"
380,it,"2023-08-24 01:43:18","2023-08-24 01:43:18"
384,ci,"2023-08-24 01:43:16","2023-08-24 01:43:16"
388,jm,"2023-08-24 01:43:18","2023-08-24 01:43:18"
392,jp,"2023-08-24 01:43:18","2023-08-24 01:43:18"
398,kz,"2023-08-24 01:43:18","2023-08-24 01:43:18"
400,jo,"2023-08-24 01:43:18","2023-08-24 01:43:18"
404,ke,"2023-08-24 01:43:18","2023-08-24 01:43:18"
408,kp,"2023-08-24 01:43:18","2023-08-24 01:43:18"
410,kr,"2023-08-24 01:43:18","2023-08-24 01:43:18"
414,kw,"2023-08-24 01:43:18","2023-08-24 01:43:18"
417,kg,"2023-08-24 01:43:18","2023-08-24 01:43:18"
418,la,"2023-08-24 01:43:18","2023-08-24 01:43:18"
422,lb,"2023-08-24 01:43:18","2023-08-24 01:43:18"
426,ls,"2023-08-24 01:43:18","2023-08-24 01:43:18"
428,lv,"2023-08-24 01:43:18","2023-08-24 01:43:18"
430,lr,"2023-08-24 01:43:18","2023-08-24 01:43:18"
434,ly,"2023-08-24 01:43:18","2023-08-24 01:43:18"
438,li,"2023-08-24 01:43:18","2023-08-24 01:43:18"
440,lt,"2023-08-24 01:43:19","2023-08-24 01:43:19"
442,lu,"2023-08-24 01:43:19","2023-08-24 01:43:19"
446,mo,"2023-08-24 01:43:19","2023-08-24 01:43:19"
450,mg,"2023-08-24 01:43:19","2023-08-24 01:43:19"
454,mw,"2023-08-24 01:43:19","2023-08-24 01:43:19"
458,my,"2023-08-24 01:43:19","2023-08-24 01:43:19"
462,mv,"2023-08-24 01:43:19","2023-08-24 01:43:19"
466,ml,"2023-08-24 01:43:19","2023-08-24 01:43:19"
470,mt,"2023-08-24 01:43:19","2023-08-24 01:43:19"
474,mq,"2023-08-24 01:43:19","2023-08-24 01:43:19"
478,mr,"2023-08-24 01:43:19","2023-08-24 01:43:19"
480,mu,"2023-08-24 01:43:19","2023-08-24 01:43:19"
484,mx,"2023-08-24 01:43:19","2023-08-24 01:43:19"
492,mc,"2023-08-24 01:43:19","2023-08-24 01:43:19"
496,mn,"2023-08-24 01:43:19","2023-08-24 01:43:19"
498,md,"2023-08-24 01:43:19","2023-08-24 01:43:19"
499,me,"2023-08-24 01:43:19","2023-08-24 01:43:19"
500,ms,"2023-08-24 01:43:19","2023-08-24 01:43:19"
504,ma,"2023-08-24 01:43:19","2023-08-24 01:43:19"
508,mz,"2023-08-24 01:43:19","2023-08-24 01:43:19"
512,om,"2023-08-24 01:43:20","2023-08-24 01:43:20"
516,na,"2023-08-24 01:43:19","2023-08-24 01:43:19"
520,nr,"2023-08-24 01:43:19","2023-08-24 01:43:19"
524,np,"2023-08-24 01:43:19","2023-08-24 01:43:19"
528,nl,"2023-08-24 01:43:19","2023-08-24 01:43:19"
531,cw,"2023-08-24 01:43:16","2023-08-24 01:43:16"
533,aw,"2023-08-24 01:43:15","2023-08-24 01:43:15"
534,sx,"2023-08-24 01:43:20","2023-08-24 01:43:20"
535,bq,"2023-08-24 01:43:16","2023-08-24 01:43:16"
540,nc,"2023-08-24 01:43:19","2023-08-24 01:43:19"
548,vu,"2023-08-24 01:43:21","2023-08-24 01:43:21"
554,nz,"2023-08-24 01:43:19","2023-08-24 01:43:19"
558,ni,"2023-08-24 01:43:19","2023-08-24 01:43:19"
562,ne,"2023-08-24 01:43:19","2023-08-24 01:43:19"
566,ng,"2023-08-24 01:43:19","2023-08-24 01:43:19"
570,nu,"2023-08-24 01:43:19","2023-08-24 01:43:19"
574,nf,"2023-08-24 01:43:19","2023-08-24 01:43:19"
578,no,"2023-08-24 01:43:20","2023-08-24 01:43:20"
580,mp,"2023-08-24 01:43:19","2023-08-24 01:43:19"
581,um,"2023-08-24 01:43:21","2023-08-24 01:43:21"
583,fm,"2023-08-24 01:43:19","2023-08-24 01:43:19"
584,mh,"2023-08-24 01:43:19","2023-08-24 01:43:19"
585,pw,"2023-08-24 01:43:20","2023-08-24 01:43:20"
586,pk,"2023-08-24 01:43:20","2023-08-24 01:43:20"
591,pa,"2023-08-24 01:43:20","2023-08-24 01:43:20"
598,pg,"2023-08-24 01:43:20","2023-08-24 01:43:20"
600,py,"2023-08-24 01:43:20","2023-08-24 01:43:20"
604,pe,"2023-08-24 01:43:20","2023-08-24 01:43:20"
608,ph,"2023-08-24 01:43:20","2023-08-24 01:43:20"
612,pn,"2023-08-24 01:43:20","2023-08-24 01:43:20"
616,pl,"2023-08-24 01:43:20","2023-08-24 01:43:20"
620,pt,"2023-08-24 01:43:20","2023-08-24 01:43:20"
624,gw,"2023-08-24 01:43:17","2023-08-24 01:43:17"
626,tl,"2023-08-24 01:43:21","2023-08-24 01:43:21"
630,pr,"2023-08-24 01:43:20","2023-08-24 01:43:20"
634,qa,"2023-08-24 01:43:20","2023-08-24 01:43:20"
638,re,"2023-08-24 01:43:20","2023-08-24 01:43:20"
642,ro,"2023-08-24 01:43:20","2023-08-24 01:43:20"
643,ru,"2023-08-24 01:43:20","2023-08-24 01:43:20"
646,rw,"2023-08-24 01:43:20","2023-08-24 01:43:20"
652,bl,"2023-08-24 01:43:20","2023-08-24 01:43:20"
654,sh,"2023-08-24 01:43:20","2023-08-24 01:43:20"
659,kn,"2023-08-24 01:43:20","2023-08-24 01:43:20"
660,ai,"2023-08-24 01:43:15","2023-08-24 01:43:15"
662,lc,"2023-08-24 01:43:20","2023-08-24 01:43:20"
663,mf,"2023-08-24 01:43:20","2023-08-24 01:43:20"
666,pm,"2023-08-24 01:43:20","2023-08-24 01:43:20"
670,vc,"2023-08-24 01:43:20","2023-08-24 01:43:20"
674,sm,"2023-08-24 01:43:20","2023-08-24 01:43:20"
678,st,"2023-08-24 01:43:20","2023-08-24 01:43:20"
682,sa,"2023-08-24 01:43:20","2023-08-24 01:43:20"
686,sn,"2023-08-24 01:43:20","2023-08-24 01:43:20"
688,rs,"2023-08-24 01:43:20","2023-08-24 01:43:20"
690,sc,"2023-08-24 01:43:20","2023-08-24 01:43:20"
694,sl,"2023-08-24 01:43:20","2023-08-24 01:43:20"
702,sg,"2023-08-24 01:43:20","2023-08-24 01:43:20"
703,sk,"2023-08-24 01:43:20","2023-08-24 01:43:20"
704,vn,"2023-08-24 01:43:21","2023-08-24 01:43:21"
705,si,"2023-08-24 01:43:20","2023-08-24 01:43:20"
706,so,"2023-08-24 01:43:20","2023-08-24 01:43:20"
710,za,"2023-08-24 01:43:20","2023-08-24 01:43:20"
716,zw,"2023-08-24 01:43:21","2023-08-24 01:43:21"
724,es,"2023-08-24 01:43:20","2023-08-24 01:43:20"
728,ss,"2023-08-24 01:43:20","2023-08-24 01:43:20"
729,sd,"2023-08-24 01:43:21","2023-08-24 01:43:21"
732,eh,"2023-08-24 01:43:21","2023-08-24 01:43:21"
740,sr,"2023-08-24 01:43:21","2023-08-24 01:43:21"
744,sj,"2023-08-24 01:43:21","2023-08-24 01:43:21"
748,sz,"2023-08-24 01:43:17","2023-08-24 01:43:17"
752,se,"2023-08-24 01:43:21","2023-08-24 01:43:21"
756,ch,"2023-08-24 01:43:21","2023-08-24 01:43:21"
760,sy,"2023-08-24 01:43:21","2023-08-24 01:43:21"
762,tj,"2023-08-24 01:43:21","2023-08-24 01:43:21"
764,th,"2023-08-24 01:43:21","2023-08-24 01:43:21"
768,tg,"2023-08-24 01:43:21","2023-08-24 01:43:21"
772,tk,"2023-08-24 01:43:21","2023-08-24 01:43:21"
776,to,"2023-08-24 01:43:21","2023-08-24 01:43:21"
780,tt,"2023-08-24 01:43:21","2023-08-24 01:43:21"
784,ae,"2023-08-24 01:43:21","2023-08-24 01:43:21"
788,tn,"2023-08-24 01:43:21","2023-08-24 01:43:21"
792,tr,"2023-08-24 01:43:21","2023-08-24 01:43:21"
795,tm,"2023-08-24 01:43:21","2023-08-24 01:43:21"
796,tc,"2023-08-24 01:43:21","2023-08-24 01:43:21"
798,tv,"2023-08-24 01:43:21","2023-08-24 01:43:21"
800,ug,"2023-08-24 01:43:21","2023-08-24 01:43:21"
